section,subsection,content
Course Title,,Content  Unit 1 Web designing Fundamentals                                                     [8 hrs]
Description,,It is a Web application development platform for designing effective and interactive
Objectives,,"To provide fundamental knowledge of Web page design with   HTML5, CSS,"
Unit,Unit 1,Web designing Fundamentals                                                     [8 hrs]
Unit,Unit 2,Basic Web page designing with HTML 5                            [8 hrs]
Unit,Unit 3,Cascade Style Sheets                                                                     [8 hrs]
Unit,Unit 4,JavaScript                                                                                     [8 hrs]
Unit,Unit 5,Fundamentals of Internet                                                   [ 6 hrs]
Unit,Unit 6,Software Basics                                                                         [5 hrs]
Unit,Unit 7,Software Engineering                                                               [4 hrs]
Unit,Unit 8,Advance Processing System                                                     [4 hrs]
Assessment,,is based on end semester written examination
References,,"Literature  
 1. HTML5 Black Book: Covers CSS3, Javascript, XML, XHTML, Ajax, PHP and"
