section,subsection,content
Course Title,,Content   Unit 1: Fundamentals Of Digital Marketing                                                       [4 Hrs]
Objectives,,To provide an in -depth knowledge of most recent digital marketing strategies.
Unit,Unit 1,Fundamentals Of Digital Marketing                                                       [4 Hrs]
Unit,Unit 2,Designing Fundamentals With Web Designing                                     [4 Hrs]
Unit,Unit 3,SEO & SMM Social Media Marketing (Facebook)                              [8 Hrs]
Unit,Unit 4,Email Marketing & Affiliate Marketing                                               [4 Hrs]
Unit,Unit 5,D esign Modelling                                                                                            [8 Hrs]
Unit,Unit 6,Software Testing                                                                                          [10 Hrs]
Unit,Unit 7,Software implementation and Project management                                     [6 Hrs]
Unit,Unit 8,Case study of information systems                                                                [8 Hrs]
Assessment,,is based on end semester written examination
References,,"Literature  
 1. Digital Marketing For Dummies, Russ Henneberry and Ryan Deiss 
(ISBN -13 : 978 -1119235590)  
2. Digital Marketing All -In-One for Dummies (ISBN -13 : 978 -
8126534623)  
3. Digital Marketin g All -In-One Bundle, 2 in 1 Bundle ,Savanna Payne ·"
